Given sensitizer	Targets
Metformin	PRKAB1
Arsenic trioxide	IKBKB|TXNRD1|JUN|CCND1|MAPK3|MAPK1|AKT1|CDKN1A|HDAC1|PML
mTOR inhibitor	MTOR
Rapamycin	MTOR|FKBP1A|FGF2
ATG5 inhibitor	ATG5
ATG6 inhibitor	ATG6
ATG7 inhibitor	ATG7
Curcumin	PPARG|VDR|ABCC5|CBR1|GSTP1
GSK2126458	PIK3CA|PIK3CB|PIK3CG|PIK3CD|MTOR
NVPBEZ235	PIK3CA|PIK3CB|PIK3CG|PIK3CD|PIK3C2A|PIK3C2B|PIK3C2G|PIK3C3|MTOR
Gefitinib	EGFR
AIB1 inhibitor	NCOA3
Trastuzumab	C1QB|FCGR1A|C1QC|C1QA|FCGR3B|EGFR|C1R|C1S|FCGR2A|FCGR2B|ERBB2|FCGR3A
MAPK inhibitor	MAP2K1|MAP2K2
