GeneSymbol	RWR_Score
FAS	0.0031432344669978583
BCL2	0.0027299149014154487
NRP1	0.002729785176176148
L1CAM	0.0026881448570428698
PIK3R1	0.0026744036166932695
NCAM2	0.0026645801179168765
CD44	0.002616917269678739
CLK2	0.0025832373804541265
PTPRG	0.0025816032033699056
FYN	0.0025418471760595075
EPAS1	0.002526518759328928
SNAI2	0.002512102659998729
NRAS	0.002454060282624398
BCL2L11	0.0024514090193529913
GLI3	0.002439181650497849
NEK9	0.0024381755485893414
PRKCA	0.0024241970932355134
STAT3	0.002410977728088207
IGF1R	0.00241091526157677
PLCG2	0.0023775784405962648
FGFR2	0.002362279078905463
TGFB2	0.0023585628882404944
CYCS	0.0023347246317708898
IRS2	0.002327728135613862
TGFBR2	0.002326797916130818
FOXO1	0.002319632476750972
CD36	0.002301061854055171
ID2	0.002296540946771376
PRKAB1	0.002292171056463142
EFNA5	0.002281499815103846
SDC2	0.00227675807604824
CAMKK2	0.002272054274382772
IL1R1	0.002262913355903
GAB1	0.002255114179461017
SQSTM1	0.002254079968008899
HEY1	0.002251274964797304
PXN	0.0022486778940345297
SOX2	0.002248323866537786
MYB	0.0022450565316468893
CACNA1D	0.002239771145421386
HIPK1	0.0022387847783963827
HLA-DQB1	0.002234275808679402
IL1RAP	0.002231692493187041
PCK2	0.002230151372775784
C3	0.002228135650625741
CXCL12	0.0022243386000175146
ITPR1	0.0022239166030035475
IFNGR1	0.002223409193466898
PLAU	0.002223043312710542
EPHA4	0.0022224486200919207
ARHGEF6	0.0022223404562566537
RASSF5	0.00222135321801419
ACVR1C	0.0022210836050394708
F2RL1	0.0022206092645038053
CDH3	0.0022201618103838187
ST6GALNAC4	0.0022198965690596833
HMGCR	0.002217589705872844
CDKN2B	0.0022160713080579615
MED12	0.0022158795837620604
THBS1	0.002214848998846025
NOTCH3	0.0022143881690992553
S100A4	0.0022142893506056794
MZF1	0.0022125771298467326
EIF4EBP1	0.0022123633611984606
CHN2	0.002212025021344249
FZD5	0.0022118690449570125
TAB3	0.0022114737865515347
DNM1L	0.0022113690108299024
CTSL	0.002209271072669974
MED28	0.0022091320491185087
KCNJ3	0.0022075709476994327
MCL1	0.002206375527159407
ERBB4	0.0022063211121788094
GPR143	0.002205086473182568
MYLK	0.0022048741878803345
MUC5B	0.002204852790416077
TLR2	0.0022048221247421966
FST	0.0022041248211689558
ACTA2	0.002204048283655329
LDLR	0.002203508577337232
LGALS3	0.002203161659497347
TFAP2A	0.0022029666303260186
SLC16A1	0.002201875058272483
IRF6	0.002201867492786986
ELK4	0.0022018321334381697
LYN	0.0022014840146649547
COL4A6	0.002201427134310232
SLC9A1	0.0022013539454399686
AREG	0.002201056071118573
NOD2	0.0022007800538245146
DUSP3	0.0022006822202915045
SYNJ1	0.002199993613795679
EGLN3	0.002199506572526829
SGK1	0.0021993479227558777
SALL4	0.0021991609349648715
NCF2	0.002198872778234653
SH3GL1	0.0021988722291970135
SLC7A5	0.0021983802393094206
CLIP1	0.002198238673591267
F11R	0.0021980963546750164
HSPA5	0.0021980196384182612
PGR	0.002198018675169345
LIMK2	0.0021977776401784334
FLNA	0.0021977475073311522
DLC1	0.002197596434191521
TNFRSF21	0.002197584352777601
RAPGEF2	0.0021975730112762503
PDE4D	0.0021975010733165856
HDAC6	0.0021974475171945168
FN1	0.0021973497034111183
SMAD9	0.002197272416116008
ITGA6	0.0021970537979614365
CCDC6	0.0021968361606826917
THBD	0.0021968354039048088
PYGL	0.0021967841936623715
PMEPA1	0.0021967682601571202
ARPC3	0.0021966882843469844
LOXL2	0.002196644585881936
NFAT5	0.002196567172198942
PLA2G16	0.0021962768925267336
RIT1	0.0021962482917854587
VGF	0.0021962466365954138
LGALS1	0.0021962360303849327
GLS	0.0021961944610971594
PARD6B	0.002196166391659619
LIFR	0.0021961038499010406
CLOCK	0.002196012757243829
LPIN1	0.002195966660513271
MAFB	0.0021959640456674623
ELK3	0.002195845804496002
ZYX	0.0021958274303493413
SIAH2	0.002195822491893263
TFF1	0.002195805006702841
CD59	0.0021957947701224697
SAT1	0.0021957725774878413
ATXN1	0.0021957460850172473
BANP	0.0021957278151116693
PERP	0.0021957278151116693
ZMAT3	0.0021957278151116693
BACE1	0.002195718084115511
CEBPG	0.0021956924778456927
CAMK1D	0.002195674385308863
KCNK5	0.0021956519700717203
CYP1B1	0.0021956428999052122
RND3	0.0021954953470393816
ATP2A2	0.0021954073969128935
TIMP2	0.0021952234595375955
TFRC	0.0021952212552137926
TFF3	0.0021952172293922194
CLU	0.002195209754695248
HLA-E	0.0021952081853930205
HNRNPA3	0.002195207292232808
S100A10	0.002195205305990675
SOAT1	0.002195205305990675
RND1	0.0021951894620009325
ATP2B1	0.0021951677736373352
KL	0.0021951437814848695
IDH1	0.002195112351047505
TRPC1	0.0021950040285505083
ARTN	0.002195001337849265
EGR3	0.0021949616161512937
TIMP1	0.002194932271919516
SLC1A2	0.0021949309924585076
F12	0.0021949222751421367
BCAS2	0.002194917955025265
THOC1	0.0021948844784669946
GREB1	0.0021948768667926625
CITED1	0.0021948665311545524
SLC6A6	0.0021948497727071483
SPAG9	0.002194827848292046
MYH9	0.00219479227106262
CLDN1	0.002194736319827839
LPAR6	0.002194731248736406
OSMR	0.002194687809552507
UTRN	0.0021946858858086344
MACC1	0.002194664388528171
MYO5A	0.00219465569140153
SKIL	0.0021946550142843426
SOX3	0.0021945954592040096
IGFBP4	0.0021945888920436893
PHLPP2	0.002194581977291473
POLI	0.0021945805869694342
AKR1C3	0.0021945688814836778
PNKP	0.0021945387597106817
SOCS6	0.0021945289374141683
PRKAR1A	0.002194524105076672
ADGRE5	0.002194481522201029
GBP1	0.002194478344118411
SLC12A6	0.00219447628224756
ATP2A3	0.0021944742262297486
ULBP2	0.002194469023116496
MYBL1	0.002194464839803402
TNIP2	0.002194461628178847
ZFP36L2	0.002194457496207699
ETV5	0.0021944572761460985
CHAC1	0.002194451185166344
PAM	0.0021944444541067407
HHEX	0.0021944401945856854
AGR2	0.0021944313573224778
NDUFA1	0.0021944284189052425
TET1	0.002194421660459589
MGP	0.0021944187223227898
MAP1B	0.0021944117706638525
S100A6	0.002194411590137505
CD55	0.0021944082168294933
BCL9L	0.0021944054990468294
DACH1	0.002194404412923525
EFNB2	0.0021944040496419365
MYO1B	0.0021944038698895824
PINK1	0.002194402129147332
HSD17B11	0.002194401533521179
CSRP1	0.002194396998536795
HSD17B8	0.002194396998536795
HIST1H2AM	0.002194395388771504
ZNFX1	0.002194391836037438
SIKE1	0.0021943883850418663
CYP4B1	0.002194387459093768
KDM5B	0.002194387459093768
GABBR2	0.0021943871791267966
IER5	0.0021943862666500414
GFRA1	0.002194386001427748
ASPH	0.0021943846444049684
SLC22A4	0.002194383586208737
AKAP13	0.002194379702011
EIF5	0.0021943785811661845
STC2	0.0021943760098677417
NT5C3A	0.0021943745137755584
NPY1R	0.0021943742311490476
NPY5R	0.0021943737340709684
HLA-B	0.002194371317274939
EIF5A2	0.002194371240458134
PHLDA3	0.002194370304905846
TUBD1	0.0021943700441467897
FOXC1	0.002194369999001681
ACSL1	0.0021943698098978305
SEMA3E	0.0021943686853381247
C3orf14	0.002194367937375912
COL12A1	0.0021943668277613327
COL5A1	0.0021943668277613327
TNFRSF12A	0.0021943668277613327
ELF4	0.0021943668277613327
SLC44A2	0.0021943668277613327
GOLM1	0.0021943668201689693
HDAC11	0.0021943668171258875
TMOD3	0.0021943668171258875
NEU1	0.0021943664649987996
ENPEP	0.0021943664649987996
STARD13	0.0021943664649987996
TM7SF2	0.0021943660665876444
ANAPC4	0.0021943657172729487
CSTA	0.0021943650048553147
KIF3A	0.0021943647101502115
VANGL1	0.0021943633908485
SOCS4	0.002194361785095477
SLC12A7	0.002194361735157506
CLTB	0.00219436083631708
SEPT7	0.0021943589775606067
KCNN4	0.002194358965641985
DPYD	0.0021943583105262982
AMOTL1	0.002194358285955283
HOXC11	0.0021943579598204424
TMPRSS3	0.0021943575295846423
NLGN2	0.0021943573764285815
MTHFD2	0.002194357375675087
ARX	0.0021943573667711595
CTSC	0.0021943573667711595
SETBP1	0.0021943573667711595
SEC24D	0.0021943573667711595
ASCL2	0.0021943573667711595
CXCL16	0.0021943573667711595
CLCF1	0.0021943573667711595
SHMT2	0.0021943573667711595
SPOCK1	0.0021943573667711595
ZNF444	0.0021943573667711595
THEM4	0.0021943573667711595
MED13	0.0021943573667711595
ZBTB2	0.0021943573667711595
ABCG1	0.0021943573667711595
LGMN	0.0021943573667711595
MLF1	0.0021943573667711595
SULF1	0.0021943573667711595
CCDC88C	0.0021943573667711595
TNIK	0.0021943573667711595
CDC14B	0.0021943573667711595
IL20	0.0021943573667711595
SPDEF	0.0021943573667711595
SPATA2	0.0021943573667711595
JAZF1	0.0021943573667711595
SNX9	0.0021943573667711595
CETN3	0.0021943573667711595
SLIT2	0.0021943573667711595
WWP1	0.0021943573667711595
INPP4A	0.0021943573667711595
HMGN5	0.0021943573667711595
IL24	0.0021943573667711595
NTN1	0.0021943573667711595
COL9A3	0.0021943573667711595
GXYLT2	0.0021943573667711595
RBMS1	0.0021943573667711595
WIPI1	0.0021943573667711595
FNIP2	0.0021943573667711595
RASD1	0.0021943573667711595
FSTL3	0.0021943573667711595
ALDH1A3	0.0021943573667711595
RECQL4	0.0021943573667711595
ONECUT2	0.0021943573667711595
RAMP1	0.0021943573667711595
PI4K2A	0.0021943573667711595
PITX2	0.0021943573667711595
PPP2R3A	0.0021943573667711595
GPRC5A	0.0021943573667711595
PRNP	0.0021943573667711595
PTPN21	0.0021943573667711595
HLA-F	0.0021943573667711595
PJA1	0.0021943573667711595
GAD1	0.0021943573667711595
PRDM4	0.0021943573667711595
AKAP12	0.0021943573667711595
DOK7	0.0021943573667711595
SRC	0.0016125653659463317
ACTB	0.001285398730323147
ACTG1	0.0010663034472771253
CACNA1A	0.0010040172761714282
CTNNB1	0.0009181493180092635
GNAQ	0.0008813678690709457
JAK2	0.0008765261013920201
TP53	0.0008542128089694392
BAX	0.0008209788071479127
GNAS	0.0007879129203633218
NOS3	0.0007777748033274987
CD74	0.000742546195966698
CDK4	0.0007254480369371018
FASLG	0.0006907053984664156
CDC25B	0.0006832224597215349
LIPE	0.0006805808031554838
MITF	0.0006795094048307257
SRSF2	0.0006775868910866585
TCF7L2	0.0006679971400874985
FOS	0.0006663835437929701
IKBKE	0.000665483293596526
MSTN	0.0006653769775704202
CYLD	0.0006653121663427726
MUSK	0.0006636509313376006
HOXA9	0.0006634361708876115
SPTBN1	0.0006628315412295762
TRADD	0.0006620705208957176
CLSPN	0.0006609745578022844
GRHL3	0.0006605602486412318
PROC	0.0006599555864052277
DCTN1	0.0006595598381646181
NR2C2	0.0006593139433863885
NEU3	0.0006592756145232959
SNCAIP	0.0006590992639793423
GFRA3	0.0006585005207587986
SLC11A1	0.0006583938691883678
SET	0.0006583499274163027
MAPK8	0.0006583473443892235
RFX2	0.0006583395510372883
SCARF1	0.0006583166710215212
CXCR6	0.0006583106851690762
CENPE	0.0006583076942491217
COPS3	0.0006583072100313479
LMO1	0.0006583072100313479
SMAD2	0.000654309416001461
CDKN1A	0.0006493696065999303
RHOA	0.0006333942299364162
JAK1	0.0006050124447331885
EGFR	0.0006044535448731256
ERBB2	0.0005975247155854413
PLG	0.0005917461313679203
ABL1	0.0005826547411621003
BAK1	0.0005666201217619062
CXCR4	0.0005594991293969097
IL22RA1	0.0005492935644674265
IL20RA	0.0005486297070590451
MAPK14	0.0005468741475260833
MAPK11	0.0005279096255385726
SMAD3	0.0005187722347111449
RIPK1	0.0005181908983342074
SDC1	0.0005080387927665969
SDC4	0.0005032960831876628
RBPJ	0.0004986393607465826
BCL2L1	0.00047653054425787756
NCAM1	0.0004702395095931214
PIK3R2	0.0004659522206441018
PIK3CA	0.0004640623119379117
PIK3CB	0.00046379171184788854
PIK3CD	0.00046308675928798755
EZR	0.00046251716879340847
RELA	0.0004562163704523727
ATG16L1	0.00045253270737806797
MSN	0.0004487729487989957
RDX	0.0004478116024639239
CASP3	0.0004411697333541392
PIK3R3	0.0004381805336986142
RAC1	0.0004329279512171298
HIF1A	0.0004288564758275472
JAK3	0.000404026097298365
IL6ST	0.00039823118224278296
PTPN1	0.0003910964062495576
