GeneSymbol	Count
ABL1	3
ABL2	1
ACACA	1
ACACB	1
ACKR3	1
ACO1	1
ACTB	4
ACTG1	4
ADCY1	1
ADCY2	1
ADCY3	1
ADCY4	1
ADCY5	1
ADCY6	1
ADCY7	1
ADCY8	1
ADCY9	1
ADD1	1
ADD2	1
AFDN	1
AGAP2	1
AKT	2
AKT1	4
AKT1S1	1
AKT2	4
AKT3	4
ANXA1	1
ANXA2	1
APAF1	1
APC	1
AQP1	1
ARAF	2
ARHGAP32	1
ARHGAP33	1
ARHGDIB	1
ARHGEF1	2
ARHGEF12	2
ATF2	1
ATF4	1
ATF6B	1
ATG12	1
ATG16L1	2
ATG16L2	1
ATG5	1
ATP1A1	2
ATP1A2	2
ATP1A3	2
ATP1A4	2
ATP1B1	2
ATP1B2	2
ATP1B3	2
ATP1B4	2
BAD	1
BAK1	3
BAX	5
BCL2L1	4
BCL2L2	1
BECN1	3
BECN2	2
BID	2
BIK	1
BIRC2	2
BIRC3	2
BIRC5	2
BRAF	2
BRAP	1
BTK	1
C3AR1	1
C5	1
CACNA1A	2
CACNA1C	2
CACNA1F	1
CACNA1S	1
CACNA2D1	1
CACNA2D2	1
CACNA2D3	1
CACNA2D4	1
CACNB1	1
CACNB2	1
CACNB3	1
CACNB4	1
CACNG1	1
CACNG2	1
CACNG3	1
CACNG4	1
CACNG5	1
CACNG6	1
CACNG7	1
CACNG8	1
CALD1	2
CALM1	1
CALM2	1
CALM3	1
CALML3	1
CALML4	1
CALML5	1
CALML6	1
CAMK2A	1
CAMK2B	1
CAMK2D	1
CAMK2G	1
CAMK4	2
CASP3	4
CASP7	1
CASP8	1
CASP9	2
CASR	1
CAV1	1
CBL	2
CBX4	1
CCNB2	1
CCND1	1
CCND2	1
CD163	1
CD19	1
CD244	1
CD247	2
CD38	1
CD4	1
CD47	1
CD5	1
CD74	2
CD79A	1
CD79B	1
CD8A	3
CD8B	3
CD97	1
CDC42	2
CDCA3	1
CDK4	1
CDK5	1
CDKN1A	1
CDKN1B	2
CDKN2A	1
CDKN2D	1
CENPE	1
CFL1	2
CFL2	1
CFTR	1
CHAT	1
CHKA	1
CHKB	1
CIITA	1
CLSPN	1
CNTFR	1
COPS3	1
CORO1B	1
CR1	1
CREB1	1
CREB3	1
CREB3L1	1
CREB3L2	1
CREB3L3	1
CREB3L4	1
CREB5	1
CREBBP	1
CRK	3
CRKL	3
CRTC2	1
CRY1	1
CRY2	1
CSF1R	1
CTLA4	1
CTNNB1	5
CTNND1	1
CTPS1	1
CXCR4	1
CXCR6	1
CYBB	1
CYLD	1
CYTH2	1
DAPP1	1
DAXX	2
DCC	1
DCTN1	1
DLG4	1
DNM1	1
DNM2	1
DTX1	1
DTX2	1
DTX3	1
DTX3L	1
DTX4	1
DVL1	1
DVL2	1
DVL3	1
EDF1	1
EEF2K	2
EFNA1	1
EFNA2	1
EFNA3	1
EFNA4	1
EGFR	5
EGLN1	1
EGLN2	1
EIF4E	1
EIF4E1B	1
EIF4E2	1
EIF6	1
ELAVL1	1
ELK1	1
EPHA2	1
EPHA3	1
EPHA5	1
EPHA8	1
EPHB1	1
EPHB2	1
EPHB3	1
EPHB4	1
EPHB6	1
ERBB2	2
ESR1	1
EWSR1	1
EZR	3
F11	1
F3	1
FADD	1
FAF1	1
FBXW7	1
FCER1G	2
FCGR1A	1
FCGR2A	1
FCGR3A	1
FGFR1	1
FGFR3	2
FGFR4	2
FLT1	1
FLT3	1
FLT4	1
FOS	2
FOXG1	1
FOXO	1
FOXO3	4
FOXO4	3
FOXO6	3
FOXP3	1
FXYD2	2
FYB1	1
G6PC	1
G6PC2	1
G6PC3	1
GAB2	2
GATA4	1
GFRA3	1
GIT1	1
GJA1	1
GLI1	3
GLI2	2
GNA12	2
GNA13	2
GNAI1	5
GNAI2	5
GNAI3	5
GNAO1	5
GNAQ	3
GNAS	3
GNAZ	2
GNB1	3
GNB2	3
GNB3	3
GNB4	3
GNB5	3
GNG10	3
GNG11	3
GNG12	3
GNG13	3
GNG2	3
GNG3	3
