SourceGene	TargetGene	PathwayType	Interaction
PPP2CB	TP53	signaling	inhibit
PPP2CB	IRAK4	signaling	inhibit
PPP2CB	CACNG3	signaling	inhibit
PPP2CB	BCL2	signaling	activate
PPP2CB	PRKCG	signaling	inhibit
PPP2CB	CACNA1F	signaling	inhibit
PPP2CB	ULK1	signaling	inhibit
PPP2CB	STAT1	signaling	inhibit
PPP2CB	CACNG2	signaling	inhibit
PPP2CB	CACNG6	signaling	inhibit
PPP2CB	CACNA1D	signaling	inhibit
PPP2CB	CACNB4	signaling	inhibit
PPP2CB	FBXO43	signaling	activate
PPP2CB	AKT1	signaling	inhibit
PPP2CB	RYR2	signaling	inhibit
PPP2CB	CACNA2D1	signaling	inhibit
PPP2CB	CACNA1S	signaling	inhibit
PPP2CB	CACNG1	signaling	inhibit
PPP2CB	MAPK3	signaling	inhibit
PPP2CB	CACNG5	signaling	inhibit
PPP2CB	STK3	signaling	inhibit
PPP2CB	MAPK1	signaling	inhibit
PPP2CB	WWTR1	signaling	activate
PPP2CB	CACNB3	signaling	inhibit
PPP2CB	CACNG8	signaling	inhibit
PPP2CB	PPP1R1A	signaling	inhibit
PPP2CB	CACNA2D3	signaling	inhibit
PPP2CB	CACNG7	signaling	inhibit
PPP2CB	CACNA2D4	signaling	inhibit
PPP2CB	PRKCB	signaling	inhibit
PPP2CB	STAT2	signaling	inhibit
PPP2CB	CACNG4	signaling	inhibit
PPP2CB	CACNA1C	signaling	inhibit
PPP2CB	AKT2	signaling	inhibit
PPP2CB	AKT3	signaling	inhibit
PPP2CB	RPS6KB1	signaling	modulate
PPP2CB	TNNI3	signaling	inhibit
PPP2CB	IRAK1	signaling	inhibit
PPP2CB	MAP2K2	signaling	inhibit
PPP2CB	RPS6KB2	signaling	modulate
PPP2CB	CACNB2	signaling	inhibit
PPP2CB	CACNA2D2	signaling	inhibit
PPP2CB	CACNB1	signaling	inhibit
PPP2CB	ULK2	signaling	inhibit
PPP2CB	PRKCA	signaling	inhibit
PPP2CB	YAP1	signaling	activate
PPP2CB	MAP2K1	signaling	inhibit
PPP2CB	SNCA	signaling	inhibit
PPP2CB	CHEK2	signaling	activate
PPP2CB	RALA	signaling	inhibit
PPP2CB	IKBKB	signaling	inhibit
PPP2CB	MDM2	signaling	activate
PPP2CB	MYC	signaling	inhibit
PPP2CB	AKT	signaling	inhibit
PPP2CB	ATM	signaling	inhibit
PPP2CB	ELF1	signaling	inhibit
PPP2CB	CARD11	signaling	inhibit
PPP2CB	CHEK1	signaling	inhibit
PPP2CB	HDAC7	signaling	activate
PPP2CB	KRT8	signaling	modulate
TP53	TRPC6	regulatory	regulate
TP53	GADD45B	signaling	activate
TP53	HIF1A	regulatory	regulate
TP53	SERPINE1	regulatory	express
TP53	CDKN1A	signaling	activate
TP53	CDKN1B	signaling	activate
TP53	CCNG2	regulatory	express
TP53	PLK1	regulatory	regulate
TP53	GADD45G	signaling	activate
TP53	GADD45A	signaling	activate
TP53	BCL6	regulatory	regulate
TP53	BNIP3	regulatory	regulate
TP53	SFN	regulatory	regulate
TP53	RPRM	regulatory	express
TP53	GTSE1	regulatory	express
TP53	FAS	regulatory	express
TP53	PIDD1	regulatory	express
TP53	TNFRSF10B	regulatory	regulate
TP53	BAX	signaling	activate
TP53	PMAIP1	regulatory	express
TP53	TP53	regulatory	regulate
TP53	TP53AIP1	regulatory	regulate
TP53	TP53I3	regulatory	express
TP53	EI24	regulatory	express
TP53	SHISA5	regulatory	express
TP53	PERP	regulatory	express
TP53	ZMAT3	regulatory	express
TP53	SIAH1	regulatory	express
TP53	IGFBP3	regulatory	regulate
TP53	ADGRB1	regulatory	express
TP53	CD82	regulatory	regulate
TP53	THBS1	regulatory	express
TP53	SERPINB5	regulatory	regulate
TP53	DDB2	regulatory	regulate
TP53	RRM2	regulatory	express
TP53	RRM2B	regulatory	express
TP53	SESN2	regulatory	express
TP53	SESN3	regulatory	express
TP53	SESN1	regulatory	regulate
TP53	PTEN	regulatory	regulate
TP53	TSC2	regulatory	express
TP53	STEAP3	regulatory	express
TP53	MDM2	signaling	activate
TP53	RFWD2	regulatory	regulate
TP53	RCHY1	regulatory	express
TP53	CCNG1	regulatory	express
TP53	PPM1D	regulatory	express
TP53	TP73	regulatory	regulate
TP53	BNIP3L	regulatory	express
TP53	MCL1	regulatory	regulate
TP53	PPARGC1A	regulatory	regulate
TP53	BAK1	signaling	activate
TP53	BID	regulatory	express
TP53	APAF1	regulatory	regulate
TP53	TNFRSF10A	regulatory	express
TP53	TNFRSF10D	regulatory	express
TP53	TNFRSF10C	regulatory	regulate
TP53	BBC3	regulatory	regulate
TP53	CRYAB	regulatory	regulate
TP53	SLC7A11	regulatory	repress
TP53	SAT2	regulatory	express
TP53	SAT1	regulatory	express
TP53	ACTA2	regulatory	regulate
TP53	AREG	regulatory	regulate
TP53	ESR1	regulatory	regulate
TP53	NOTCH1	regulatory	regulate
TP53	MMP2	regulatory	regulate
TP53	CCL2	regulatory	regulate
TP53	PCNA	regulatory	regulate
TP53	TGFA	regulatory	regulate
TP53	GSTP1	regulatory	regulate
TP53	MUC2	regulatory	regulate
TP53	APP	regulatory	regulate
TP53	CAV1	regulatory	regulate
TP53	EPHA2	regulatory	regulate
TP53	RB1	regulatory	regulate
TP53	TERT	regulatory	regulate
TP53	YWHAG	regulatory	regulate
TP53	YAP1	regulatory	regulate
TP53	CASP1	regulatory	regulate
TP53	AR	regulatory	regulate
TP53	MIR145	regulatory	regulate
TP53	ATF3	regulatory	regulate
TP53	STK11	regulatory	regulate
TP53	RNF128	regulatory	regulate
TP53	PTCHD4	regulatory	regulate
TP53	PTK2	regulatory	regulate
TP53	LRP1	regulatory	regulate
TP53	APC	regulatory	regulate
TP53	APOB	regulatory	regulate
TP53	EGFR	regulatory	regulate
TP53	FHL2	regulatory	regulate
TP53	HSP90AB1	regulatory	regulate
TP53	IFI16	regulatory	regulate
TP53	RARRES3	regulatory	regulate
TP53	ING2	regulatory	regulate
TP53	DUSP1	regulatory	regulate
TP53	PINX1	regulatory	regulate
TP53	CHEK1	regulatory	regulate
TP53	TRIM22	regulatory	regulate
TP53	DDX3X	regulatory	regulate
TP53	MLH1	regulatory	regulate
TP53	S100A2	regulatory	regulate
TP53	ZFP36	regulatory	regulate
TP53	NDRG2	regulatory	regulate
TP53	MSH2	regulatory	regulate
TP53	GFI1	regulatory	regulate
TP53	MIR300	regulatory	regulate
TP53	CD44	regulatory	regulate
TP53	LASP1	regulatory	regulate
TP53	MIR34A	regulatory	regulate
TP53	NDRG1	regulatory	regulate
TP53	MIR130B	regulatory	regulate
TP53	MIR216B	regulatory	regulate
TP53	FGF21	regulatory	regulate
TP53	ARHGAP30	regulatory	regulate
TP53	MIR34C	regulatory	regulate
TP53	MIR1228	regulatory	regulate
TP53	TP63	regulatory	regulate
TP53	RASSF1	regulatory	regulate
TP53	DUSP4	regulatory	regulate
TP53	FANCC	regulatory	regulate
TP53	FPR1	regulatory	regulate
TP53	NEK2	regulatory	regulate
TP53	PRODH	regulatory	regulate
TP53	CX3CL1	regulatory	regulate
TP53	TUG1	regulatory	regulate
TP53	HAMP	regulatory	regulate
TP53	MIR17HG	regulatory	regulate
TP53	MIR486-1	regulatory	regulate
TP53	FDFT1	regulatory	regulate
TP53	POLD1	regulatory	regulate
TP53	PTTG1	regulatory	regulate
TP53	CD59	regulatory	regulate
TP53	CDC20	regulatory	regulate
TP53	HRAS	regulatory	regulate
TP53	POMC	regulatory	regulate
TP53	DAPK1	regulatory	regulate
TP53	NINJ1	regulatory	regulate
TP53	GDF15	regulatory	regulate
TP53	MFN2	regulatory	regulate
TP53	DUSP14	regulatory	regulate
TP53	PANK1	regulatory	regulate
TP53	MIR655	regulatory	regulate
TP53	FDPS	regulatory	regulate
TP53	SUB1	regulatory	regulate
TP53	DEF6	regulatory	regulate
TP53	MVK	regulatory	regulate
TP53	SALL2	regulatory	regulate
TP53	CGB7	regulatory	regulate
TP53	ANXA1	regulatory	regulate
TP53	MIR192	regulatory	regulate
TP53	MIR194-2	regulatory	regulate
TP53	MIR34B	regulatory	regulate
TP53	MIR381	regulatory	regulate
TP53	MCTS1	regulatory	regulate
TP53	RPS27L	regulatory	regulate
TP53	BANP	regulatory	regulate
TP53	CHMP4C	regulatory	regulate
TP53	DKK1	regulatory	regulate
TP53	XAF1	regulatory	regulate
TP53	PEBP1	regulatory	regulate
TP53	MIR107	regulatory	regulate
TP53	TP53INP1	regulatory	regulate
TP53	E2F7	regulatory	regulate
TP53	FXN	regulatory	regulate
TP53	AKR1B10	regulatory	regulate
TP53	HMGCR	regulatory	regulate
TP53	PHGDH	regulatory	regulate
TP53	SCN3B	regulatory	regulate
TP53	UGT2B7	regulatory	regulate
TP53	TUSC7	regulatory	regulate
TP53	RAB6C	regulatory	regulate
TP53	PROM1	regulatory	regulate
TP53	CRYAA	regulatory	regulate
TP53	CRYBA1	regulatory	regulate
TP53	APOBEC1	regulatory	regulate
TP53	BCL2	signaling	inhibit
TP53	SCO2	signaling	activate
TP53	CDKN2A	signaling	activate
TP53	CDKN2C	signaling	activate
TP53	ETS1	signaling	inhibit
TP53	RPS6KA1	signaling	activate
TP53	RPS6K	signaling	activate
TP53	NFKB2	signaling	activate
TP53	BCL2L1	signaling	inhibit
TP53	BIRC5	signaling	inhibit
GADD45B	CCNB3	signaling	inhibit
GADD45B	CCNB1	signaling	inhibit
GADD45B	PCNA	signaling	activate
GADD45B	CCNB2	signaling	inhibit
GADD45B	MAP3K4	signaling	activate
HIF1A	TNF	regulatory	regulate
HIF1A	CD36	regulatory	regulate
HIF1A	NPPB	regulatory	regulate
HIF1A	BCL2L1	regulatory	regulate
HIF1A	CXCL8	regulatory	regulate
HIF1A	PTGS2	regulatory	regulate
HIF1A	CCL4L2	regulatory	regulate
HIF1A	CXCL2	regulatory	express
HIF1A	EPO	regulatory	regulate
HIF1A	TF	regulatory	regulate
HIF1A	TFRC	regulatory	regulate
HIF1A	VEGFA	regulatory	regulate
HIF1A	SERPINE1	regulatory	regulate
HIF1A	EDN1	regulatory	regulate
HIF1A	HMOX1	regulatory	regulate
